time_s,athlete_depth_m,center_depth_m
20.004,3.818,3.51
20.057,3.89,3.51
20.11,3.747,3.51
20.162,3.89,3.51
20.215,3.941,3.51
20.267,4.072,3.51
20.319,3.724,3.51
20.372,3.794,3.51
20.424,3.551,3.49
20.472,3.636,3.49
20.524,3.451,3.47
20.576,3.551,3.47
20.629,3.49,3.47
20.681,3.531,3.47
20.734,3.49,3.431
20.786,3.49,3.431
20.839,3.412,3.431
20.891,3.431,3.431
20.943,3.302,3.338
20.995,3.338,3.338
21.048,3.431,3.356
21.101,3.412,3.356
21.153,3.393,3.32
21.205,3.393,3.32
21.258,3.393,3.302
21.311,3.393,3.302
21.363,3.284,3.232
21.415,3.284,3.232
21.468,3.32,3.302
21.52,3.32,3.302
21.573,3.431,3.302
21.626,3.431,3.302
21.678,3.431,3.302
21.73,3.431,3.302
21.783,3.47,3.356
21.835,3.47,3.356
21.888,3.47,3.393
21.94,3.451,3.393
21.993,3.47,3.393
22.045,3.451,3.393
22.098,3.451,3.431
22.15,3.451,3.431
22.203,3.51,3.431
22.255,3.51,3.431
22.308,3.49,3.451
22.36,3.47,3.451
22.412,3.47,3.47
22.465,3.47,3.47
22.517,3.572,3.49
22.569,3.531,3.49
22.622,3.551,3.531
22.674,3.551,3.531
22.726,3.593,3.49
22.778,3.593,3.49
22.83,3.614,3.47
22.883,3.593,3.47
22.935,3.593,3.451
22.987,3.593,3.451
23.039,3.572,3.551
23.092,3.551,3.551
23.144,3.572,3.551
23.197,3.531,3.551
23.249,3.51,3.551
23.301,3.51,3.551
23.354,3.431,3.49
23.406,3.431,3.49
23.458,3.451,3.572
23.511,3.451,3.572
23.563,3.451,3.657
23.615,3.431,3.657
23.668,3.431,3.89
23.72,3.412,3.89
23.773,3.412,3.614
23.825,3.412,3.614
23.878,3.49,3.572
23.93,3.47,3.572
23.983,3.531,3.551
24.035,3.51,3.551
24.087,3.451,3.572
24.14,3.431,3.572
24.192,3.47,3.551
24.244,3.451,3.551
24.297,3.431,3.614
24.349,3.431,3.614
24.401,3.375,3.636
24.454,3.393,3.636
24.506,3.431,3.636
24.558,3.431,3.636
24.61,3.49,3.551
24.663,3.49,3.551
24.715,3.47,3.614
24.768,3.49,3.614
24.82,3.47,3.551
24.872,3.47,3.551
24.925,3.451,3.551
24.977,3.451,3.551
25.03,3.451,3.49
25.082,3.451,3.49
25.135,3.49,3.451
25.187,3.47,3.451
25.24,3.412,3.431
25.292,3.412,3.431
25.345,3.51,3.412
25.397,3.49,3.412
25.449,3.412,3.356
25.501,3.393,3.356
25.554,3.375,3.412
25.606,3.375,3.412
25.658,3.375,3.412
25.711,3.375,3.412
25.763,3.375,3.356
25.815,3.375,3.356
25.868,3.393,3.356
25.92,3.393,3.356
25.972,3.393,3.356
26.024,3.393,3.356
26.077,3.356,3.32
26.129,3.356,3.32
26.182,3.356,3.32
26.234,3.338,3.32
26.286,3.284,3.284
26.339,3.284,3.284
26.391,3.356,3.338
26.443,3.356,3.338
26.496,3.338,3.32
26.548,3.338,3.32
26.601,3.356,3.338
26.653,3.356,3.338
26.705,3.451,3.431
26.758,3.451,3.431
26.81,3.451,3.431
26.862,3.451,3.431
26.915,3.412,3.412
26.967,3.412,3.412
27.019,3.412,3.412
27.072,3.412,3.412
27.124,3.32,3.338
27.176,3.32,3.338
27.228,3.266,3.284
27.281,3.266,3.284
27.333,3.356,3.375
27.386,3.356,3.375
27.438,3.412,3.431
27.49,3.412,3.431
27.543,3.356,3.356
27.595,3.356,3.356
27.647,3.431,3.431
27.698,3.431,3.431
27.751,3.393,3.393
27.803,3.393,3.393
27.856,3.451,3.47
27.908,3.451,3.47
27.96,3.451,3.431
28.013,3.451,3.431
28.065,3.412,3.412
28.118,3.412,3.412
28.166,3.393,3.412
28.218,3.393,3.412
28.271,3.375,3.393
28.323,3.375,3.393
28.375,3.393,3.412
28.428,3.393,3.412
28.48,3.451,3.451
28.532,3.451,3.451
28.584,3.412,3.451
28.637,3.412,3.451
28.689,3.393,3.393
28.742,3.393,3.393
28.794,3.375,3.356
28.846,3.356,3.356
28.899,3.393,3.393
28.951,3.393,3.393
29.004,3.393,3.393
29.056,3.393,3.393
29.108,3.431,3.412
29.161,3.412,3.412
29.213,3.431,3.431
29.265,3.431,3.431
29.317,3.393,3.393
29.37,3.393,3.393
29.422,3.356,3.375
29.475,3.356,3.375
29.527,3.338,3.356
29.579,3.338,3.356
29.631,3.356,3.356
29.684,3.356,3.356
29.736,3.338,3.338
29.788,3.338,3.338
29.84,3.412,3.412
29.892,3.393,3.412
29.945,3.375,3.375
29.997,3.375,3.375
30.049,3.375,3.375
30.102,3.375,3.375
30.154,3.338,3.338
30.206,3.338,3.338
30.259,3.32,3.338
30.311,3.32,3.338
30.363,3.375,3.375
30.416,3.375,3.375
30.468,3.356,3.356
30.521,3.356,3.356
30.573,3.375,3.375
30.626,3.375,3.375
30.678,3.375,3.375
30.73,3.375,3.375
30.783,3.32,3.32
30.836,3.32,3.32
30.888,3.32,3.32
30.94,3.32,3.32
30.993,3.393,3.393
31.045,3.393,3.393
31.098,3.393,3.412
31.15,3.393,3.412
31.203,3.338,3.356
31.255,3.338,3.356
31.308,3.356,3.375
31.36,3.356,3.375
31.412,3.412,3.431
31.465,3.412,3.431
31.517,3.47,3.47
31.569,3.47,3.47
31.621,3.49,3.49
31.674,3.49,3.49
31.726,3.32,3.338
31.778,3.32,3.338
31.831,3.356,3.375
31.883,3.356,3.375
31.936,3.451,3.451
31.988,3.451,3.451
32.04,3.356,3.375
32.092,3.356,3.375
32.145,3.393,3.393
32.197,3.393,3.393
32.249,3.356,3.375
32.302,3.356,3.375
32.354,3.338,3.338
32.406,3.338,3.338
32.458,3.284,3.302
32.511,3.284,3.302
32.563,3.393,3.393
32.615,3.393,3.393
32.668,3.393,3.393
32.72,3.412,3.393
32.773,3.32,3.338
32.825,3.32,3.338
32.878,3.356,3.356
32.927,3.356,3.356
32.979,3.32,3.32
33.032,3.32,3.32
33.084,3.375,3.356
33.135,3.375,3.356
33.188,3.412,3.431
33.24,3.412,3.431
33.292,3.338,3.338
33.339,3.338,3.338
33.391,3.32,3.338
33.443,3.32,3.338
33.496,3.356,3.375
33.548,3.356,3.375
33.601,3.284,3.302
33.653,3.284,3.302
33.705,3.302,3.32
33.757,3.302,3.32
33.81,3.32,3.32
33.862,3.32,3.32
33.915,3.284,3.284
33.967,3.284,3.284
34.019,3.356,3.338
34.072,3.356,3.338
34.124,3.302,3.302
34.177,3.302,3.302
34.229,3.302,3.32
34.281,3.302,3.32
34.333,3.32,3.32
34.386,3.32,3.32
34.438,3.32,3.338
34.49,3.32,3.338
34.543,3.338,3.338
34.595,3.338,3.338
34.648,3.356,3.375
34.7,3.356,3.375
34.753,3.32,3.32
34.806,3.32,3.32
34.858,3.284,3.302
34.911,3.284,3.302
34.963,3.338,3.338
35.015,3.338,3.338
35.068,3.32,3.338
35.121,3.32,3.338
35.173,3.356,3.375
35.226,3.356,3.375
35.278,3.356,3.375
35.331,3.356,3.375
35.383,3.356,3.356
35.436,3.356,3.356
35.488,3.375,3.375
35.541,3.375,3.375
35.593,3.356,3.356
35.645,3.356,3.356
35.698,3.375,3.356
35.75,3.375,3.356
35.803,3.356,3.356
35.856,3.356,3.356
35.908,3.338,3.338
35.961,3.338,3.338
36.013,3.375,3.375
36.065,3.375,3.375
36.118,3.284,3.302
36.17,3.284,3.302
36.222,3.393,3.375
36.275,3.393,3.375
36.327,3.338,3.338
36.38,3.338,3.338
36.432,3.32,3.338
36.485,3.32,3.338
36.537,3.375,3.375
36.59,3.375,3.375
36.642,3.356,3.356
36.694,3.356,3.356
36.747,3.431,3.451
36.799,3.431,3.451
36.852,3.356,3.356
36.904,3.356,3.356
36.956,3.393,3.393
37.009,3.393,3.393
37.061,3.338,3.338
37.113,3.338,3.338
37.166,3.451,3.431
37.218,3.451,3.431
37.271,3.412,3.412
37.323,3.412,3.412
37.375,3.375,3.375
37.428,3.375,3.375
37.48,3.451,3.431
37.532,3.451,3.431
37.585,3.431,3.412
37.637,3.431,3.412
37.69,3.431,3.412
37.742,3.431,3.412
37.794,3.412,3.412
37.847,3.412,3.412
37.899,3.412,3.393
37.951,3.412,3.393
38.003,3.356,3.375
38.056,3.356,3.375
38.108,3.302,3.32
38.161,3.302,3.32
38.213,3.412,3.412
38.265,3.412,3.412
38.318,3.393,3.393
38.37,3.393,3.393
38.422,3.412,3.412
38.475,3.412,3.412
38.527,3.412,3.412
38.579,3.412,3.412
38.632,3.49,3.47
38.684,3.49,3.47
38.737,3.431,3.412
38.789,3.431,3.412
38.842,3.451,3.451
38.894,3.451,3.451
38.946,3.49,3.51
38.999,3.49,3.51
39.051,3.412,3.412
39.103,3.412,3.412
39.156,3.49,3.49
39.208,3.49,3.49
39.261,3.51,3.49
39.313,3.51,3.49
39.365,3.431,3.431
39.418,3.431,3.431
39.47,3.431,3.412
39.523,3.431,3.412
39.575,3.51,3.49
39.627,3.51,3.49
39.679,3.412,3.412
39.731,3.412,3.412
39.784,3.51,3.531
39.836,3.51,3.531
39.889,3.49,3.47
39.941,3.49,3.47
39.993,3.51,3.51
40.046,3.51,3.51
40.098,3.49,3.451
40.15,3.49,3.451
40.203,3.551,3.531
40.255,3.551,3.531
40.308,3.431,3.412
40.36,3.431,3.412
40.413,3.49,3.49
40.465,3.49,3.49
40.518,3.47,3.451
40.566,3.47,3.451
40.619,3.51,3.51
40.671,3.531,3.51
40.723,3.431,3.451
40.776,3.431,3.451
40.828,3.51,3.51
40.88,3.51,3.51
40.933,3.412,3.412
40.985,3.412,3.412
41.038,3.531,3.51
41.09,3.531,3.51
41.142,3.412,3.412
41.194,3.412,3.412
41.246,3.431,3.431
41.299,3.431,3.431
41.351,3.412,3.412
41.404,3.412,3.412
41.456,3.51,3.51
41.508,3.51,3.51
41.561,3.393,3.393
41.613,3.393,3.393
41.665,3.51,3.51
41.718,3.51,3.51
41.77,3.451,3.451
41.823,3.451,3.451
41.875,3.431,3.431
41.927,3.451,3.431
41.979,3.49,3.47
42.031,3.49,3.47
42.083,3.49,3.47
42.136,3.49,3.47
42.188,3.531,3.51
42.24,3.531,3.51
42.292,3.593,3.572
42.343,3.593,3.572
42.394,3.51,3.551
42.446,3.51,3.551
42.498,3.551,3.551
42.55,3.551,3.551
42.601,3.551,3.572
42.653,3.551,3.572
42.705,3.636,3.636
42.757,3.636,3.636
42.81,3.551,3.614
42.862,3.531,3.614
42.914,3.636,3.572
42.966,3.614,3.572
43.019,3.451,3.47
43.071,3.451,3.47
43.123,3.49,3.412
43.175,3.49,3.412
43.227,3.431,3.412
43.28,3.431,3.412
43.332,3.451,3.431
43.384,3.451,3.431
43.436,3.451,3.431
43.488,3.451,3.431
43.54,3.412,3.47
43.592,3.412,3.47
43.645,3.412,3.431
43.697,3.412,3.431
43.75,3.49,3.451
43.798,3.49,3.451
43.851,3.49,3.431
