time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
2.919,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.98,98.73,150.64,153.0,138.96,150.19,94.36,80.88,171.89,175.98,0.0,3.165,8.483,False,,,,,,,,,,,,,,,
2.978,Weightlifting,Clean & Jerk,Front View,Setup,Detected,72.8,95.6,150.93,153.39,138.84,147.37,102.96,84.4,172.11,175.98,0.0,3.165,8.483,False,,,,,,,,,,,,,,,
3.041,Weightlifting,Clean & Jerk,Front View,Setup,Detected,62.98,91.86,149.12,153.39,138.05,147.37,110.99,88.54,173.95,175.89,0.0,3.148,8.367,False,,,,,,,,,,,,,,,
3.103,Weightlifting,Clean & Jerk,Front View,Setup,Detected,63.21,88.3,149.24,153.77,137.15,144.67,111.78,92.47,174.2,175.89,33.69,3.165,8.367,False,,,,,,,,,,,,,,,
3.165,Weightlifting,Clean & Jerk,Front View,Setup,Detected,63.73,90.0,150.28,154.13,137.15,144.67,112.3,90.74,175.51,177.41,33.69,3.132,8.144,False,,,,,,,,,,,,,,,
3.227,Weightlifting,Clean & Jerk,Front View,Setup,Detected,81.03,94.56,151.59,155.42,143.06,145.58,96.04,86.56,173.43,177.41,15.95,3.132,8.144,False,,,,,,,,,,,,,,,
3.289,Weightlifting,Clean & Jerk,Front View,Setup,Detected,83.88,101.82,150.62,155.05,143.18,148.28,92.83,78.54,172.7,178.13,5.71,3.181,8.982,False,,,,,,,,,,,,,,,
3.354,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.68,102.2,148.88,155.42,137.85,146.92,94.05,78.54,172.7,178.13,0.0,3.181,8.982,False,,,,,,,,,,,,,,,
3.414,Weightlifting,Clean & Jerk,Front View,Setup,Detected,78.05,102.2,147.41,155.42,135.96,149.85,95.09,78.54,172.7,178.9,5.71,3.181,8.254,False,,,,,,,,,,,,,,,
3.477,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.1,105.63,150.09,155.33,133.51,149.76,95.44,75.49,173.95,177.41,5.19,3.181,8.254,False,,,,,,,,,,,,,,,
3.539,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.55,110.85,150.32,154.95,133.29,146.82,96.89,70.99,172.5,176.3,9.46,3.215,8.367,False,,,,,,,,,,,,,,,
3.603,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.72,105.26,152.29,155.77,136.25,153.65,96.71,75.49,173.29,178.52,10.3,3.215,8.367,False,,,,,,,,,,,,,,,
3.665,Weightlifting,Clean & Jerk,Front View,Setup,Detected,76.33,103.17,151.96,155.77,138.54,153.65,101.05,76.45,172.92,179.64,5.71,3.148,8.603,False,,,,,,,,,,,,,,,
3.728,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.08,108.05,148.69,155.38,136.52,153.65,102.15,72.31,170.5,178.18,10.3,3.165,8.603,False,,,,,,,,,,,,,,,
3.789,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.51,106.04,148.99,156.64,134.2,149.27,102.15,75.49,170.76,178.52,11.31,3.165,8.982,False,,,,,,,,,,,,,,,
3.851,Weightlifting,Clean & Jerk,Front View,Setup,Detected,90.34,112.83,152.76,157.75,138.24,149.19,90.33,69.89,168.56,178.52,8.13,3.165,8.982,False,,,,,,,,,,,,,,,
