time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px
6.409,Weightlifting,Snatch,Side View,First Pull,Detected,,38.41,,57.12,,116.27,,36.79,,157.49,45.82,3.756,7.466,True,238.0,399.0,13.0,-15.0,-15.83,0.0,28.0
6.474,Weightlifting,Snatch,Side View,First Pull,Detected,,38.41,,58.3,,118.83,,36.79,,157.1,46.09,3.756,7.466,True,238.0,398.0,13.0,-14.0,15.45,0.0,28.0
6.534,Weightlifting,Snatch,Side View,First Pull,Detected,,38.41,,58.3,,118.29,,36.79,,157.1,46.09,3.756,7.466,True,238.0,398.0,13.0,-14.0,0.0,0.0,28.0
6.6,Weightlifting,Snatch,Side View,First Pull,Detected,,37.62,,63.76,,111.73,,36.18,,141.52,46.34,3.756,7.466,True,242.0,383.0,17.0,1.0,227.38,60.64,28.0
6.666,Weightlifting,Snatch,Side View,First Pull,Detected,,38.04,,65.42,,111.67,,36.86,,140.38,46.07,3.733,7.558,True,243.0,380.0,18.0,4.0,44.69,14.9,28.0
6.722,Weightlifting,Snatch,Side View,First Pull,Detected,,35.72,,63.31,,113.2,,34.95,,147.89,46.33,3.733,7.558,True,240.0,386.0,15.0,-2.0,-108.45,-54.22,28.0
6.785,Weightlifting,Snatch,Side View,First Pull,Detected,,35.72,,63.59,,113.48,,34.95,,153.51,46.33,3.733,7.376,True,238.0,389.0,13.0,-5.0,-47.69,-31.79,28.0
6.846,Weightlifting,Snatch,Side View,First Pull,Detected,,41.63,,64.22,,104.7,,36.68,,107.78,46.61,3.733,7.376,True,252.0,372.0,27.0,12.0,276.79,227.94,28.0
6.91,Weightlifting,Snatch,Side View,First Pull,Detected,,43.45,,63.43,,102.09,,39.27,,103.58,46.33,3.756,7.849,True,254.0,370.0,29.0,14.0,31.41,31.41,28.0
6.974,Weightlifting,Snatch,Side View,First Pull,Detected,,46.09,,62.53,,106.43,,38.42,,153.99,46.34,3.756,7.849,True,242.0,395.0,17.0,-11.0,-391.59,-187.96,28.0
7.036,Weightlifting,Snatch,Side View,First Pull,Detected,,46.09,,62.18,,107.71,,38.42,,162.14,46.34,3.756,8.503,True,238.0,399.0,13.0,-15.0,-64.42,-64.42,28.0
7.102,Weightlifting,Snatch,Side View,First Pull,Detected,,40.81,,59.18,,114.95,,36.89,,158.71,46.34,3.733,8.503,True,238.0,396.0,13.0,-12.0,45.48,0.0,28.0
7.161,Weightlifting,Snatch,Side View,First Pull,Detected,,39.58,,58.25,,117.11,,36.36,,159.03,46.07,3.733,7.849,True,238.0,396.0,13.0,-12.0,0.0,0.0,28.0
7.226,Weightlifting,Snatch,Side View,First Pull,Detected,,39.05,,59.04,,113.33,,35.71,,157.18,46.34,3.733,7.849,True,237.0,395.0,12.0,-11.0,15.36,-15.36,28.0
7.289,Weightlifting,Snatch,Side View,First Pull,Detected,,38.98,,60.57,,114.94,,34.78,,153.76,46.34,3.756,6.957,True,237.0,394.0,12.0,-10.0,15.93,0.0,28.0
7.351,Weightlifting,Snatch,Side View,First Pull,Detected,,39.34,,60.65,,115.94,,35.07,,151.29,46.9,3.756,6.957,True,238.0,392.0,13.0,-8.0,32.22,16.11,28.0
7.412,Weightlifting,Snatch,Side View,First Pull,Detected,,39.34,,60.65,,115.94,,34.82,,148.71,46.9,3.71,7.376,True,239.0,390.0,14.0,-6.0,32.5,16.25,28.0
7.473,Weightlifting,Snatch,Side View,First Pull,Detected,,39.88,,58.58,,117.16,,34.02,,149.59,46.88,3.71,7.376,True,239.0,390.0,14.0,-6.0,0.0,0.0,28.0
7.536,Weightlifting,Snatch,Side View,First Pull,Detected,,37.9,,58.33,,119.47,,34.05,,149.59,46.9,3.733,8.163,True,239.0,390.0,14.0,-6.0,0.0,0.0,28.0
7.604,Weightlifting,Snatch,Side View,First Pull,Detected,,39.34,,61.9,,116.01,,36.46,,153.96,47.16,3.733,8.163,True,238.0,391.0,13.0,-7.0,-14.77,-14.77,28.0
7.663,Weightlifting,Snatch,Side View,First Pull,Detected,,39.34,,62.64,,116.75,,36.67,,154.17,47.42,3.756,7.466,True,238.0,392.0,13.0,-8.0,-16.8,0.0,28.0
7.724,Weightlifting,Snatch,Side View,First Pull,Detected,,40.19,,63.13,,116.38,,36.67,,154.17,47.16,3.756,7.466,True,238.0,392.0,13.0,-8.0,0.0,0.0,28.0
